frame_60fps,time_seconds,primary_phase,origin_glow,origin_branch_progress,symbol_opacity,symbol_scale,anchor_offset_x_pct,anchor_offset_y_pct,anchor_rotation_deg,upper_offset_x_pct,upper_offset_y_pct,upper_rotation_deg,lower_offset_x_pct,lower_offset_y_pct,lower_rotation_deg,echo_1_opacity,echo_2_opacity,echo_absorb_progress,symbol_to_lockup_progress,wordmark_reveal_progress,wordmark_opacity,symbol_to_header_progress,overlay_opacity,header_staff_progress,header_labels_progress,hero_staff_progress,hero_clef_progress,hero_copy_progress,interactive_ready
0,0.0000,origin,0.2500,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1,0.0167,origin,0.4976,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2,0.0333,origin,0.6836,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3,0.0500,origin,0.8169,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4,0.0667,origin,0.9062,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5,0.0833,origin,0.9604,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
6,0.1000,origin,0.9883,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
7,0.1167,origin,0.9985,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
8,0.1333,origin,1.0000,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
9,0.1500,origin,0.9964,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.1667,origin,0.9715,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
11,0.1833,origin,0.9037,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
12,0.2000,origin,0.7717,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
13,0.2167,origin,0.5783,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
14,0.2333,origin,0.4463,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
15,0.2500,origin,0.3785,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
16,0.2667,origin,0.3536,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
17,0.2833,origin,0.3500,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
18,0.3000,symbol-seed,0.3500,0.0000,0.0000,0.1200,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
19,0.3167,symbol-seed,0.3348,0.2487,0.1993,0.1575,-8.0000,12.0000,-1.2000,14.0000,-10.0000,1.8000,10.0000,12.0000,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
20,0.3333,symbol-seed,0.3196,0.4523,0.3703,0.1917,-7.9998,11.9997,-1.2000,13.9996,-9.9997,1.8000,9.9997,11.9997,-1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
21,0.3500,symbol-seed,0.3043,0.6153,0.5149,0.2227,-7.9993,11.9989,-1.1999,13.9988,-9.9991,1.7998,9.9991,11.9989,-1.4999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
22,0.3667,symbol-seed,0.2891,0.7423,0.6356,0.2509,-7.9983,11.9975,-1.1997,13.9971,-9.9979,1.7996,9.9979,11.9975,-1.4997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
23,0.3833,symbol-seed,0.2739,0.8377,0.7343,0.2762,-7.9967,11.9951,-1.1995,13.9943,-9.9959,1.7993,9.9959,11.9951,-1.4994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
24,0.4000,symbol-seed,0.2587,0.9061,0.8134,0.2989,-7.9944,11.9915,-1.1992,13.9901,-9.9929,1.7987,9.9929,11.9915,-1.4989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.4167,symbol-seed,0.2435,0.9519,0.8750,0.3190,-7.9910,11.9866,-1.1987,13.9843,-9.9888,1.7980,9.9888,11.9866,-1.4983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
26,0.4333,symbol-seed,0.2283,0.9797,0.9213,0.3368,-7.9866,11.9799,-1.1980,13.9766,-9.9833,1.7970,9.9833,11.9799,-1.4975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
27,0.4500,symbol-seed,0.2130,0.9940,0.9544,0.3523,-7.9810,11.9714,-1.1971,13.9667,-9.9762,1.7957,9.9762,11.9714,-1.4964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
28,0.4667,symbol-seed,0.1978,0.9992,0.9767,0.3658,-7.9739,11.9608,-1.1961,13.9543,-9.9673,1.7941,9.9673,11.9608,-1.4951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
